ROIid,Volume,Peak,Mean,SD,Peak_Magnitude_XYZ_1,Peak_Magnitude_XYZ_2,Peak_Magnitude_XYZ_3,hemisphere,lobe,id_Yeo7,P_Yeo7,name_Yeo7,id_WFU,P_WFU,name_WFU,id_AAL2,P_AAL2,name_AAL2,id_HO_CS,P_HO_CS,name_HO_CS,id_Yeo17,P_Yeo17,name_Yeo17,id_Shirer2012,P_Shirer2012,name_Shirer2012,id_Cerb,P_Cerb,name_Cerb,id_BNA,P_BNA,name_BNA
10,1930,6.33509016,3.86893651,0.563473886,-28,-66,-10,Left,subcorticalGM,1,0.232124352,Visual,74,0.069948187,BA.37,81,0.132124352,Thalamus_L,1,0.178238342,L Thalamus,15,0.120207254,17Network_15,4,0.066839378,dDMN,1,0.014507772,Left_I_IV,217,0.089119171,cHipp
1,1926,6.08865118,4.008471797,0.585117757,-14,-64,-6,Left,Occipital,1,0.621495327,Visual,57,0.237279335,BA.19,51,0.471962617,Lingual_L,51,0.559709242,Lingual Gyrus,2,0.400311526,17Network_02,12,0.065420561,Sensorimotor,3,0.096573209,Left_V,195,0.309968847,rLinG
2,4156,6.03286314,4.149667162,0.658205134,6,-76,-4,Right,Occipital,1,0.62560154,Visual,14,0.199230029,BA.18,52,0.358517806,Lingual_R,51,0.578200192,Lingual Gyrus,2,0.397497594,17Network_02,13,0.041385948,vDMN,4,0.044513956,Right_V,196,0.180461983,rLinG
3,5700,6.021242142,4.197350817,0.58284794,0,-98,2,Medial,Occipital,1,0.679649123,Visual,15,0.155614035,BA.19,47,0.196842105,Calcarine_L,47,0.207894737,Cuneal Cortex,2,0.536491228,17Network_02,10,0.147192982,prim_Visual,0,0,null,191,0.113859649,rCunG
4,1517,5.918392181,4.381566069,0.645400565,16,-64,10,Right,Occipital,1,0.574159525,Visual,26,0.191166777,BA.31,48,0.471984179,Calcarine_R,46,0.498352011,Precuneous Cortex,2,0.464733026,17Network_02,13,0.246539222,vDMN,0,0,null,152,0.403427818,dmPOS
5,2496,5.806592941,4.030972614,0.510559357,-14,-78,36,Left,Occipital,1,0.493189103,Visual,49,0.327724359,BA.07,53,0.345352564,Occipital_Sup_L,37,0.580528846,Lateral Occipital Cortex superior,5,0.268830128,17Network_05,9,0.131810897,Precuneus,0,0,null,209,0.21875,lsOccG
6,1305,5.779626369,3.924283467,0.574919268,-20,-66,60,Left,Parietal,3,0.678927203,Dorsal Attention,49,0.796934866,BA.07,71,0.485057471,Precuneus_L,37,0.437547893,Lateral Occipital Cortex superior,5,0.362452107,17Network_05,13,0.318007663,vDMN,0,0,null,125,0.259770115,A7r
7,2441,5.767166615,3.952493864,0.526655994,10,-60,68,Right,Parietal,3,0.63539533,Dorsal Attention,7,0.533797624,BA.07,72,0.383859074,Precuneus_R,46,0.473986071,Precuneous Cortex,6,0.326095862,17Network_06,13,0.314625154,vDMN,0,0,null,126,0.200327735,A7r
8,136,5.610768318,4.641487739,0.312470915,14,-82,48,Right,Occipital,1,0.463235294,Visual,7,0.808823529,BA.07,50,0.316176471,Cuneus_R,37,0.911764706,Lateral Occipital Cortex superior,2,0.397058824,17Network_02,9,0.308823529,Precuneus,0,0,null,208,0.507352941,msOccG
9,1003,5.548458576,3.850107774,0.549266517,20,-28,-8,Right,subcorticalGM,1,0.188434696,Visual,30,0.089730808,BA.35,82,0.232303091,Thalamus_R,9,0.269192423,R Thalamus,15,0.14556331,17Network_15,13,0.032901296,vDMN,4,0.008973081,Right_V,240,0.139581256,PPtha
11,2865,5.344337463,3.665648356,0.383203968,8,-34,48,Right,Limbic,2,0.292146597,Somatomotor,26,0.130541012,BA.31,37,0.289005236,Cingulate_Mid_L,45,0.364048866,Cingulate Gyrus posterior,3,0.281326353,17Network_03,13,0.10052356,vDMN,0,0,null,185,0.12390925,A23c
12,904,5.301418304,3.729964777,0.41297602,44,-82,14,Right,Occipital,1,0.496681416,Visual,34,0.314159292,BA.39,56,0.647123894,Occipital_Mid_R,37,0.76659292,Lateral Occipital Cortex superior,5,0.597345133,17Network_05,13,0.257743363,vDMN,0,0,null,136,0.699115044,A39c
13,925,5.108349323,3.698040504,0.421685493,-46,-60,-14,Left,Temporal,3,0.681081081,Dorsal Attention,74,0.481081081,BA.37,93,0.501621622,Temporal_Inf_L,31,0.396756757,ITG temporooccipital,5,0.488648649,17Network_05,7,0.056216216,LECN,0,0,null,107,0.364324324,A37lv
14,628,5.043747425,3.834802662,0.485882664,-42,-82,16,Left,Occipital,1,0.643312102,Visual,57,0.48566879,BA.19,55,0.828025478,Occipital_Mid_L,37,0.842356688,Lateral Occipital Cortex superior,5,0.571656051,17Network_05,13,0.243630573,vDMN,0,0,null,135,0.554140127,A39c
15,2365,5.034071922,3.576062542,0.334647766,-32,-30,56,Left,Frontal,2,0.451585624,Somatomotor,48,0.412262156,BA.06,1,0.460465116,Precentral_L,22,0.470613108,Precentral Gyrus,3,0.402536998,17Network_03,12,0.266807611,Sensorimotor,0,0,null,55,0.176744186,A6cdl
16,444,4.893193722,3.582146339,0.350164985,42,-34,-22,Right,Temporal,3,0.493243243,Dorsal Attention,32,0.527027027,BA.37,94,0.529279279,Temporal_Inf_R,31,0.423423423,ITG temporooccipital,5,0.657657658,17Network_05,13,0.040540541,vDMN,0,0,null,108,0.466216216,A37lv
17,204,4.874501228,3.770931767,0.334235177,-32,-50,62,Left,Parietal,2,0.549019608,Somatomotor,77,0.343137255,BA.40,63,0.710784314,Parietal_Sup_L,33,1,Superior Parietal Lobule,3,0.426470588,17Network_03,14,0.37254902,Visuospatial,0,0,null,131,0.416666667,A7pc
18,1299,4.859084606,3.59853376,0.378925099,-10,12,56,Left,Frontal,4,0.505003849,Ventral Attention,48,0.380292533,BA.06,15,0.308698999,Supp_Motor_Area_L,18,0.41878368,Superior Frontal Gyrus,7,0.383371824,17Network_07,1,0.427251732,anterior_Salience,0,0,null,1,0.200153965,A8m
19,444,4.640784264,3.524921849,0.32965887,-36,-12,44,Left,Frontal,2,0.313063063,Somatomotor,48,0.63963964,BA.06,1,0.810810811,Precentral_L,22,0.963963964,Precentral Gyrus,4,0.265765766,17Network_04,14,0.231981982,Visuospatial,0,0,null,63,0.313063063,A6cvl
22,223,4.542545795,3.441604285,0.320323562,0,18,2,Medial,subcorticalGM,7,0.089686099,Default,21,0.00896861,BA.25,75,0.147982063,Caudate_L,42,0.403587444,Subcallosal Cortex,16,0.085201794,17Network_16,0,0,null,0,0,null,219,0.062780269,vCa
23,653,4.492051125,3.552798278,0.299205871,24,32,-4,Right,subcorticalGM,5,0.056661562,Limbic,42,0.091883614,BA.47,76,0.10719755,Caudate_R,48,0.104134763,Frontal Orbital Cortex,10,0.056661562,17Network_10,0,0,null,0,0,null,220,0.050535988,vCa
20,663,4.365152836,3.446312189,0.248739731,38,-36,50,Right,Parietal,2,0.523378582,Somatomotor,3,0.330316742,BA.03,62,0.823529412,Postcentral_R,32,0.754147813,Postcentral Gyrus,3,0.428355958,17Network_03,12,0.177978884,Sensorimotor,0,0,null,160,0.33785822,A2
21,845,4.293081284,3.426610518,0.23525051,34,-10,60,Right,Frontal,2,0.576331361,Somatomotor,6,0.636686391,BA.06,2,0.585798817,Precentral_R,22,0.74556213,Precentral Gyrus,3,0.521893491,17Network_03,12,0.426035503,Sensorimotor,0,0,null,56,0.40591716,A6cdl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROIid,id_Yeo17,,ROIid,id_Yeo17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,15,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,5,,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,5,,7,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,6,,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2,,9,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15,,10,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3,,11,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,5,,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,5,,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,5,,14,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,3,,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,5,,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,3,,17,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,7,,18,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4,,19,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,16,,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,10,,21,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,3,,22,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,3,,23,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
